0,区名,区長,人口,区役所住所,区役所HP,議員1,議員2,議員3,議員4,議員5,議員6,市会HP,人口
1,北区,上野　信子,124936,北区扇町2丁目1番27号,http://www.city.osaka.lg.jp/kita/,37,0,57,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310400.html,129412
2,都島区,林田　潔,104848,都島区中野町2-16-20,http://www.city.osaka.lg.jp/miyakojima/,38,1,58,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310424.html,106523
3,福島区,大谷　常一,72686,福島区大開1丁目8番1号,http://www.city.osaka.lg.jp/fukushima/,39,2,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310457.html,74381
4,此花区,前田　昌則,66524,此花区春日出北1-8-4,http://www.city.osaka.lg.jp/konohana/,3,76,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310423.html,66362
5,中央区,田端　尚伸,93962,中央区久太郎町1丁目2番27号,http://www.city.osaka.lg.jp/chuo/,40,4,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310460.html,96438
6,西区,岸本　孝之,93312,西区新町4丁目5番14号,http://www.city.osaka.lg.jp/nishi/,41,5,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310464.html,97667
7,港区,筋原　章博,82051,港区市岡1丁目15番25号,http://www.city.osaka.lg.jp/minato/,59,6,42,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310465.html,81065
8,大正区,吉田　康人,64869,大正区千島2丁目7番95号,http://www.city.osaka.lg.jp/taisho/,7,60,77,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310455.html,64355
9,天王寺区,西山　忠邦,76316,天王寺区真法院町20番33号,http://www.city.osaka.lg.jp/tennoji/,43,8,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310471.html,78372
10,浪速区,榊　正文,70600,浪速区敷津東1丁目4番20号,http://www.city.osaka.lg.jp/naniwa/,9,44,86,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310473.html,72350
11,西淀川区,塩屋　幸男,95448,西淀川区御幣島1丁目2番10号,http://www.city.osaka.lg.jp/nishiyodogawa/,45,61,10,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310476.html,95518
12,淀川区,山本　正広,176485,淀川区十三東2丁目3番3号,http://www.city.osaka.lg.jp/yodogawa/,11,46,62,78,12,86,http://www.city.osaka.lg.jp/shikai/page/0000310467.html,179136
13,東淀川区,北岡　均,175527,東淀川区豊新2丁目1番4号,http://www.city.osaka.lg.jp/higashiyodogawa/,79,63,13,47,14,15,http://www.city.osaka.lg.jp/shikai/page/0000310544.html,175827
14,東成区,麻野　篤,80596,東成区大今里西2丁目8番4号,http://www.city.osaka.lg.jp/higashinari/,16,48,64,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310594.html,81881
15,生野区,山口　照美,129815,生野区勝山南3丁目1番19号,http://www.city.osaka.lg.jp/ikuno/,17,18,49,85,65,86,http://www.city.osaka.lg.jp/shikai/page/0000310593.html,129693
16,旭区,花田　公絵,91510,旭区大宮1丁目1番17号,http://www.city.osaka.lg.jp/asahi/,19,66,50,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310592.html,91069
17,城東区,松本　勝己,164723,城東区中央3丁目5番45号,http://www.city.osaka.lg.jp/joto/,67,20,51,21,80,86,http://www.city.osaka.lg.jp/shikai/page/0000310591.html,166242
18,鶴見区,河村　浩一,111461,鶴見区横堤5丁目4番19号,http://www.city.osaka.lg.jp/tsurumi/,22,23,68,86,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310590.html,111563
19,阿倍野区,宝田　啓行,108237,阿倍野区文の里1-1-40,http://www.city.osaka.lg.jp/abeno/,24,52,69,25,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310589.html,108642
20,住之江区,西原　昇,122695,住之江区御崎3丁目1番17号,http://www.city.osaka.lg.jp/suminoe/,26,70,53,27,86,86,http://www.city.osaka.lg.jp/shikai/page/0000310750.html,121785
21,住吉区,朝川　晋,153773,住吉区南住吉3丁目15番55号,http://www.city.osaka.lg.jp/sumiyoshi/,28,81,29,54,71,86,http://www.city.osaka.lg.jp/shikai/page/0000310753.html,153350
22,東住吉区,上田　正敏,126246,東住吉区東田辺1丁目13番4号,http://www.city.osaka.lg.jp/higashisumiyoshi/,82,55,30,31,72,86,http://www.city.osaka.lg.jp/shikai/page/0000310752.html,126161
23,平野区,稲嶺　一夫,196600,平野区背戸口3丁目8番19号,http://www.city.osaka.lg.jp/hirano/,83,32,33,73,74,56,http://www.city.osaka.lg.jp/shikai/page/0000310751.html,194955
24,西成区,横関　稔,111511,西成区岸里1丁目5番20号,http://www.city.osaka.lg.jp/nishinari/,34,84,35,36,75,86,http://www.city.osaka.lg.jp/shikai/page/0000310534.html,110410
