0,区名,区長,人口,区役所住所,区役所HP,議員1,議員2,議員3,議員4,議員5,議員6,市会HP
1,北区,上野　信子,135211,北区扇町2丁目1番27号,http://www.city.osaka.lg.jp/kita/,0,1,39,58,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310400.html
2,都島区,大畑　和彦,107214,都島区中野町2-16-20,http://www.city.osaka.lg.jp/miyakojima/,2,3,59,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310424.html
3,福島区,大谷　常一,76997,福島区大開1丁目8番1号,http://www.city.osaka.lg.jp/fukushima/,40,4,83,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310457.html
4,此花区,前田　昌則,65560,此花区春日出北1-8-4,http://www.city.osaka.lg.jp/konohana/,60,5,83,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310423.html
5,中央区,吉村　浩,99724,中央区久太郎町1丁目2番27号,http://www.city.osaka.lg.jp/chuo/,41,6,82,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310460.html
6,西区,岸本　孝之,102102,西区新町4丁目5番14号,http://www.city.osaka.lg.jp/nishi/,42,7,8,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310464.html
7,港区,筋原　章博,80884,港区市岡1丁目15番25号,http://www.city.osaka.lg.jp/minato/,61,9,43,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310465.html
8,大正区,吉田　康人,63131,大正区千島2丁目7番95号,http://www.city.osaka.lg.jp/taisho/,10,62,83,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310455.html
9,天王寺区,西山　忠邦,80189,天王寺区真法院町20番33号,http://www.city.osaka.lg.jp/tennoji/,44,11,83,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310471.html
10,浪速区,榊　正文,74279,浪速区敷津東1丁目4番20号,http://www.city.osaka.lg.jp/naniwa/,12,45,83,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310473.html
11,西淀川区,塩屋　幸男,95945,西淀川区御幣島1丁目2番10号,http://www.city.osaka.lg.jp/nishiyodogawa/,46,63,13,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310476.html
12,淀川区,山本　正広,181413,淀川区十三東2丁目3番3号,http://www.city.osaka.lg.jp/yodogawa/,47,14,64,76,15,83,http://www.city.osaka.lg.jp/shikai/page/0000310467.html
13,東淀川区,北岡　均,176573,東淀川区豊新2丁目1番4号,http://www.city.osaka.lg.jp/higashiyodogawa/,48,65,16,77,17,83,http://www.city.osaka.lg.jp/shikai/page/0000310544.html
14,東成区,麻野　篤,83378,東成区大今里西2丁目8番4号,http://www.city.osaka.lg.jp/higashinari/,18,19,49,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310594.html
15,生野区,山口　照美,129542,生野区勝山南3丁目1番19号,http://www.city.osaka.lg.jp/ikuno/,20,80,21,66,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310593.html
16,旭区,花田　公絵,90796,旭区大宮1丁目1番17号,http://www.city.osaka.lg.jp/asahi/,67,50,22,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310592.html
17,城東区,松本　勝己,167382,城東区中央3丁目5番45号,http://www.city.osaka.lg.jp/joto/,68,23,51,24,78,83,http://www.city.osaka.lg.jp/shikai/page/0000310591.html
18,鶴見区,長沢　伸幸,111358,鶴見区横堤5丁目4番19号,http://www.city.osaka.lg.jp/tsurumi/,25,69,26,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310590.html
19,阿倍野区,宝田　啓行,110133,阿倍野区文の里1-1-40,http://www.city.osaka.lg.jp/abeno/,27,52,28,83,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310589.html
20,住之江区,西原　昇,120790,住之江区御崎3丁目1番17号,http://www.city.osaka.lg.jp/suminoe/,29,70,30,81,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310750.html
21,住吉区,朝川　晋,153329,住吉区南住吉3丁目15番55号,http://www.city.osaka.lg.jp/sumiyoshi/,31,79,32,53,71,83,http://www.city.osaka.lg.jp/shikai/page/0000310753.html
22,東住吉区,上田　正敏,126298,東住吉区東田辺1丁目13番4号,http://www.city.osaka.lg.jp/higashisumiyoshi/,54,33,34,72,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310752.html
23,平野区,稲嶺　一夫,193414,平野区背戸口3丁目8番19号,http://www.city.osaka.lg.jp/hirano/,35,55,73,74,56,36,http://www.city.osaka.lg.jp/shikai/page/0000310751.html
24,西成区,横関　稔,109361,西成区岸里1丁目5番20号,http://www.city.osaka.lg.jp/nishinari/,37,57,38,75,83,83,http://www.city.osaka.lg.jp/shikai/page/0000310534.html
